datetime,device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
2023-02-04 11:47:18,nvme0n1,18.6,735.03,8.56,31.52,0.24,39.53,19.53,615.99,48.22,71.17,1.07,31.54,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.35,0.03,1.74
2023-02-04 11:47:19,nvme0n1,1201.0,60964.0,1102.0,47.85,0.2,50.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,62.0
2023-02-04 11:47:20,nvme0n1,1393.0,31564.0,613.0,30.56,0.13,22.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,82.4
2023-02-04 11:47:18,nvme0n1,799.0,28152.0,1257.0,61.14,0.22,35.23,442.0,16900.0,72.0,14.01,0.55,38.24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42,40.4
2023-02-04 11:47:19,nvme0n1,942.0,47816.0,702.0,42.7,0.18,50.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.8
2023-02-04 11:47:20,nvme0n1,1376.0,27112.0,383.0,21.77,0.13,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,83.6
